#,Node,HViC Variable Name,Clean Variable Name,Variable Label,Description,Data Type,Enums
1,demographics,sd_age,age,Age,"Participant's current age in years, calculated from date of birth.",decimal,
2,demographics,sd_saab,sex_at_birth,Sex Assigned at Birth,Biological sex recorded at birth.,enum,assigned_female | assigned_male | assigned_intersex
3,demographics,sd_cob,country_of_birth,Country of Birth,Country in which the participant was born. ISO 3166-1 alpha-2 codes.,enum,"AU | AF | AL | DZ | … (ISO 3166-1 list, ~200 countries)"
4,demographics,sd_cob_mother,mother_country_of_birth,Mother's Country of Birth,Country in which the participant's biological mother was born.,enum,"AU | AF | AL | DZ | … (ISO 3166-1 list, ~200 countries) | ZZ (Unknown)"
5,demographics,sd_cob_father,father_country_of_birth,Father's Country of Birth,Country in which the participant's biological father was born.,enum,"AU | AF | AL | DZ | … (ISO 3166-1 list, ~200 countries) | ZZ (Unknown)"
6,demographics,sd_ancestry,ancestry,Ancestry,Self-reported ancestry (up to two selections).,enum[],english | irish | scottish | chinese | italian | german | aboriginal | torres_strait_islander | australian | other_1 | other_2
7,demographics,sd_education,education_level,Highest Education Level,Highest level of formal education completed.,enum,postgraduate | honours_grad_dip | bachelor | tafe_diploma | tafe_cert_3_4 | tafe_cert_1_2 | year_12 | year_11 | year_9_10 | year_7_8 | finished_primary | did_not_finish_primary | no_schooling | other
8,demographics,sd_marital,relationship_status,Relationship Status,Current relationship or marital status.,enum,single | married_de_facto | divorced_separated | widowed | partner_not_cohabiting | other
9,demographics,sd_residence,residence_type,Residence Type,Classification of the participant's current place of residence.,enum,rural_semi_rural | regional_city_town | suburban | urban_fringe | cbd
10,demographics,sd_income,income_adequacy,Income Adequacy,Self-assessed ability to manage on available income.,enum,easily | not_too_bad | difficult_sometimes | difficult_always | impossible
11,demographics,sd_worktype,employment_status,Employment Status,Current employment or occupational situation. Multiple selections allowed.,enum[],employed_self_employed | retired | home_family | unable_to_work | unemployed | voluntary_work | student | none_of_above
12,demographics,sd_people,household_size,Household Size,"Total number of people living in the participant's household, including the participant.",integer,
13,demographics,sd_pets,pet_in_home,Pet in Home,Whether the participant has a pet living in their home.,boolean,yes | no
14,anthropometry,height_avg,height_cm,Height (cm),"Average of three standing height measurements, in centimetres.",decimal,
